,Game of Throws_VS_Kindha's Disappointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1st half,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,2nd half,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,Score,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Will Leckie,Pass,Mark Donahue,Pass,Kirsten Querbach,Pass,Sandra Hanson,Pass,Matt Masse,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Will Leckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Mark Donahue,Pass,Will Leckie,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Cassandra Cheung,Pass,Will Leckie,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Will Leckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Sandra Hanson,Pass,Al Colantonio,Pass,Will Leckie,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,Pass,Chris Tran,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Mark Donahue,Pass,Al Colantonio,Pass,Matt Masse,Pass,Mark Donahue,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Edwin Wong,Pass,Nick Vetvut,Pass,Edwin Wong,Pass,Christopher LaFleur,Pass,Sebastien Belanger,Pass,Nick Vetvut,Pass,Edwin Wong,Pass,Nick Vetvut,Pass,Christopher LaFleur,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Nick Vetvut,Pass,Christopher LaFleur,Pass,Sebastien Belanger
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kirsten Querbach,Pass,Will Leckie,Pass,Al Colantonio,Pass,James King,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,Pass,Chris Tran,Pass,Kevin Hughes,Pass,Chris Tran,Pass,Justine Price,Pass,Chris Tran,Pass,Christopher LaFleur,Pass,Chris Tran,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Matt Masse,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Justine Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kevin Hughes,Pass,Justine Price,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Will Leckie,Pass,Patrick Gauvin,Pass,Sandra Hanson,Pass,James King,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Kevin Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,
